,Actual_quantity,Customer,Product_group,Product_family,Country,New_SKU_Name,Created_date_month,Created_date_year
0,1,UBW ZRT,Component,Other,Belgium,Other,7,2019
1,1,,Component,Other,Belgium,Other,6,2019
2,1,,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,7,2019
3,1,ROOL IN,Component,Other,Belgium,Other,5,2019
4,1,,Component,Other,Belgium,Other,6,2019
5,1,AGU,Component,Other,Belgium,Other,5,2019
6,1,Ahooga Sprl,Component,Other,France,Other,2,2019
7,3,,Component,Other,Germany,Other,7,2019
8,1,DPD,Component,Other,Netherlands,Other,2,2019
9,1,UBW ZRT,Component,Other,Belgium,Other,5,2019
10,1,,Component,Other,Belgium,Other,5,2019
11,1,DPD,Component,Other,Belgium,Other,6,2019
12,1,HARTJE,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,6,2019
13,1,DPD,Component,Other,Belgium,Other,7,2019
14,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,6,2019
15,1,,Component,Other,Belgium,Other,3,2019
16,1,DPD,Component,Other,Luxembourg,Other,6,2019
17,1,,Component,Other,Belgium,Other,5,2019
18,1,ROOL IN,Component,Other,Belgium,Other,4,2019
19,1,DPD,Component,Other,Belgium,Other,8,2019
20,1,HARTJE,Component,Other,Belgium,Other,7,2019
21,4,UBW,Component,Other,Belgium,Other,5,2019
22,1,AGU,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,7,2019
23,1,,Component,Other,Belgium,Other,6,2019
24,1,,Component,Other,Belgium,Other,8,2019
25,1,,Component,Other,Belgium,Other,3,2019
26,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,2,2019
27,1,,Component,Other,Belgium,Other,6,2019
28,1,,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Essential - White Sunrise,5,2019
29,1,AGU,Bike,Other,Belgium,Ahooga Modular Bike - 30V - 1S,5,2019
30,1,RADICAL DESIGN,Component,Other,Luxembourg,Other,7,2019
31,1,,Component,Other,Belgium,Other,5,2019
32,1,,Component,Other,Belgium,Other,8,2019
33,1,,Component,Other,France,Other,5,2019
34,1,,Component,Other,Belgium,Other,7,2019
35,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,4,2019
36,1,,Component,Other,Belgium,Other,6,2019
37,1,DPD,Bike,Other,Belgium,Ahooga Modular Bike - 30V - 1S,5,2019
38,1,NOWCOMPANY,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,6,2019
39,1,DPD,Component,Other,Germany,Other,4,2019
40,1,,Component,Other,Belgium,Other,5,2019
41,1,,Component,Other,Belgium,Other,5,2019
42,1,,Component,Other,Belgium,Other,5,2019
43,1,AGU,Component,Other,Belgium,Other,2,2019
44,1,Ahooga Sprl,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,2,2019
45,1,AGU,Component,Other,Belgium,Other,2,2019
46,1,,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,7,2019
47,1,,Component,Other,United Kingdom,Other,5,2019
48,1,AGU,Component,Other,Belgium,Other,3,2019
49,1,,Component,Other,Belgium,Other,3,2019
50,1,UBW,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 3S,4,2019
51,1,,Component,Other,Belgium,Other,4,2019
52,1,,Component,Other,Belgium,Other,1,2019
53,1,UBW,Component,Other,Belgium,Other,6,2019
54,1,,Component,Other,Belgium,Other,3,2019
55,1,,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,7,2019
56,1,ROOL IN,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,7,2019
57,1,Ahooga Sprl,Bike,Other,Belgium,Ahooga Modular Bike - 30V - 1S,2,2019
58,1,AGU,Component,Other,Belgium,Other,6,2019
59,7,,Component,Other,Belgium,Other,6,2019
60,1,DPD,Component,Other,France,Other,1,2019
61,1,AGU,Component,Other,Belgium,Other,2,2019
62,1,DPD,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,6,2019
63,1,Ahooga Sprl,Component,Other,Spain,Other,2,2019
64,1,AGU,Component,Other,Belgium,Other,5,2019
65,1,DPD,Component,Other,Belgium,Other,3,2019
66,1,DPD,Component,Other,Belgium,Other,1,2019
67,1,,Component,Other,Belgium,Other,7,2019
68,1,,Component,Other,Belgium,Other,6,2019
69,1,UBW ZRT,Component,Other,Belgium,Other,2,2019
70,1,,Component,Other,Belgium,Other,7,2019
71,1,FAHRER,Component,Other,Belgium,Other,1,2019
72,1,,Component,Other,Belgium,Other,6,2019
73,1,,Component,Other,Belgium,Other,6,2019
74,1,UBW,Bike,Other,Germany,Ahooga Modular Bike - 30V - 1S,5,2019
75,1,AGU,Component,Other,Belgium,Other,6,2019
76,1,,Component,Other,Belgium,Other,6,2019
77,1,,Component,Other,France,Other,3,2019
78,1,AGU,Component,Other,Belgium,Other,6,2019
79,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,6,2019
80,1,BLB,Component,Other,Belgium,Other,3,2019
81,1,,Component,Other,Belgium,Other,3,2019
82,1,UBW ZRT,Component,Other,Belgium,Other,1,2019
83,1,AGU,Component,Other,Belgium,Other,7,2019
84,1,AGU,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 3S,2,2019
85,1,UBW,Component,Other,Belgium,Other,4,2019
86,1,AGU,Component,Other,Belgium,Other,1,2019
87,1,DPD,Component,Other,France,Other,7,2019
88,1,,Component,Other,Germany,Other,6,2019
89,1,,Component,Other,Belgium,Other,6,2019
90,1,AGU,Component,Other,Belgium,Other,7,2019
91,1,,Component,Other,Belgium,Other,6,2019
92,1,NOWCOMPANY,Component,Other,Belgium,Other,2,2019
93,1,UBW,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,5,2019
94,1,UBW,Component,Other,Belgium,Other,4,2019
95,1,,Bike,Other,Belgium,ebike caliper Ahooga Hybrid Bike caliper,4,2019
96,1,,Component,Other,Belgium,Other,6,2019
97,1,,Component,Other,Belgium,Other,3,2019
98,1,,Component,Other,Belgium,Other,3,2019
99,1,DPD,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Light+ - All Black,3,2019
100,1,,Bike,Power 36V,Germany,Ahooga Folding Bike - Power+ - OMG Silver,6,2019
