Actual_quantity,Country,Created_date,Invoice_date,Master_data,Old_SKU_name,Requested_date,SKU_number,Shipped_date,Supplier
,,,,['recOqTJicbAuItuy6'],,,CUSTOM COLORRAL 5009 Matt,,
1,Belgium,08/07/2019,08/07/2019,,Hybrid Battery 24V/7Ah UPGRADE,08/07/2019,AH-FOL-HYB-BAT-7Ah UPGRADE,08/07/2019,UBW ZRT
1,Belgium,01/06/2019,01/06/2019,,"Ahooga Modular Bike - 36V - 1S (6-10 weeks) - Space Saver pack, mudguards & lights not included",01/06/2019,AH-MOD-36V-1S,01/06/2019,
1,Belgium,31/07/2019,31/07/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),31/07/2019,AH-FOL-POW,31/07/2019,
1,Belgium,29/05/2019,29/05/2019,,Helmet Torch - T2 White,29/05/2019,TORCH WHITE,29/05/2019,ROOL IN
1,Belgium,04/06/2019,04/06/2019,,Ahooga Modular Bike - 36V - 8S (4-8 weeks),04/06/2019,AH-MOD-36V-8S,04/06/2019,
1,Belgium,13/05/2019,13/05/2019,,Klickfix Stem/Caddy,13/05/2019,414096,13/05/2019,AGU
,,,,,,,VELO OCCASION  Comfort + saddle brown  Custom purple  Caliper  Niner  Numéro de série : BC-001 221,,
1,France,13/02/2019,13/02/2019,,Ahooga Sweat-Shirt (M),13/02/2019,AHOO-SWEAT-M,13/02/2019,Ahooga Sprl
,,,,['rec82LMDVCcYYwCxT'],,,Ahooga Folding Bike - Power+ - COULEUR A CONFIRMER AU 1er JUIN,,
3,Germany,17/07/2019,17/07/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),17/07/2019,AH-FOL-POW,17/07/2019,
1,Netherlands,11/02/2019,11/02/2019,,BIKE SHIPPING NL,11/02/2019,SHIPPING NL,11/02/2019,DPD
1,Belgium,14/05/2019,14/05/2019,,Twist & Lock,14/05/2019,AH-FOL-TWISTANDLOCK,14/05/2019,UBW ZRT
1,Belgium,08/05/2019,08/05/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),08/05/2019,AH-FOL-POW,08/05/2019,
,,,,['recCYEpSu76PCoAWD'],,,Custom Color (6-10 weeks) VINTAGE GREEN mat,,
1,Belgium,27/06/2019,27/06/2019,,BIKE SHIPPING BE,27/06/2019,SHIPPING BE,27/06/2019,DPD
,,,,['recBl47KwMVcZ210s'],,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue - sortie de ligne wk 34,,
1,Belgium,29/06/2019,29/06/2019,,Finish Line Cleaner and Lubricant,29/06/2019,FI254,29/06/2019,HARTJE
1,Belgium,30/07/2019,30/07/2019,,Small Goods Shipping,30/07/2019,SHIPPING SMALL PARCEL,30/07/2019,DPD
1,Belgium,13/06/2019,13/06/2019,,Rear Carrier for Ahooga Folding B i k e,13/06/2019,AH-POW-ACC-CARRIER,13/06/2019,
1,Belgium,13/03/2019,13/03/2019,,24V/7Ah Battery,13/03/2019,AH1 Bat Spare,13/03/2019,
1,Luxembourg,20/06/2019,20/06/2019,,SHIPPING BIKE LU,20/06/2019,SHIPPING LU,20/06/2019,DPD
,,,,['recpx3LFziSnLU6Dp'],,,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal / brow grips and saddle,,
1,Belgium,18/05/2019,18/05/2019,,Riser handlebar 70mm,18/05/2019,AH-MOD-ACC-RIS70,18/05/2019,
,,,,['recjybCO3ym5OhbAF'],,,Phonebag S Klickfix,,
1,Belgium,12/04/2019,12/04/2019,,Helmet Torch  T2 ORANGE,12/04/2019,TORCH ORANGE,12/04/2019,ROOL IN
1,Belgium,01/08/2019,01/08/2019,,BIKE SHIPPING BE,01/08/2019,SHIPPING BE,01/08/2019,DPD
,,,,['rec8QEmYX5nEYviqf'],,,"Push Bike caliper marathon+ VINTAGE GREEN GLOSSY, white decal, brown grip and saddle",,
1,Belgium,31/07/2019,31/07/2019,,chain KETTE KMC X8 EPT ANTIROST 116GL.MIT VERSCHLUSSGLIE,31/07/2019,0.334.063/5,31/07/2019,HARTJE
,,,,['recDYxDU9TZMzqgAl'],,,"DISC eBike marathon+ 4,4Ah battery RAW ALU, dark grey decal, black grip and saddle(for Belgium ONLY: BEBAT included)",,
4,Belgium,17/05/2019,17/05/2019,,Disc Pad Spring,17/05/2019,Disc Pad Spring,17/05/2019,UBW
1,Belgium,31/07/2019,31/07/2019,,Klickfix Stem/Caddy,31/07/2019,414096,31/07/2019,AGU
,,,,['recShQm0aFuwd78fr'],,,Rear carrier for Ahooga folding bike,,
,,,,['recZtTkFbL1TPcHu4'],,,CUSTOM logo on standard colors (6-10 weeks),,
1,Belgium,11/06/2019,11/06/2019,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,11/06/2019,AH-FOL-HYB COMFORT,11/06/2019,
,,,,['recDew2nR87ogHEzU'],,,BIKE SHIPPING PT (offert),,
,,,,['rec3BuIdwroKicVwT'],,,Cable cut fix,,
1,Belgium,01/08/2019,01/08/2019,,BEBAT Lights,01/08/2019,BEBAT2,01/08/2019,
,,,,['recLiRW0UBYsXiVQ2'],,,"SELLE ROYAL saddle, Wolfy Pedals, Ring-a-Bell, Blinder Mini Niner",,
1,Belgium,14/03/2019,14/03/2019,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,14/03/2019,AH-FOL-HYB COMFORT,14/03/2019,
1,Belgium,20/02/2019,20/02/2019,,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,20/02/2019,AH-FOL-HYB COMFORT,20/02/2019,
,,,,['recrDzRkPFoM21r5F'],,,Ahooga 1 Mini Bumper,,
,,,,['rec9Ei0Wy1QljxqNL'],,,HYBRID CUSTOM COLORRAL 1035 FINISH matt,,
