Actual_quantity,Customer,Created_date,Product_group,Product_family,Country,New_SKU_Name
1,UBW ZRT,8/7/2019,Component,Other,Belgium,Other
1,,1/6/2019,Component,Other,Belgium,Other
1,,31/07/2019,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Essential - White Sunrise
1,ROOL IN,29/05/2019,Component,Other,Belgium,Other
1,,4/6/2019,Component,Other,Belgium,Other
1,AGU,13/05/2019,Component,Other,Belgium,Other
1,Ahooga Sprl,13/02/2019,Component,Other,France,Other
3,,17/07/2019,Component,Other,Germany,Other
1,DPD,11/2/2019,Component,Other,Netherlands,Other
1,UBW ZRT,14/05/2019,Component,Other,Belgium,Other
1,,8/5/2019,Component,Other,Belgium,Other
1,DPD,27/06/2019,Component,Other,Belgium,Other
1,HARTJE,29/06/2019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,DPD,30/07/2019,Component,Other,Belgium,Other
1,,13/06/2019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,,13/03/2019,Component,Other,Belgium,Other
1,DPD,20/06/2019,Component,Other,Luxembourg,Other
1,,18/05/2019,Component,Other,Belgium,Other
1,ROOL IN,12/4/2019,Component,Other,Belgium,Other
1,DPD,1/8/2019,Component,Other,Belgium,Other
1,HARTJE,31/07/2019,Component,Other,Belgium,Other
4,UBW,17/05/2019,Component,Other,Belgium,Other
1,AGU,31/07/2019,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal
1,,11/6/2019,Component,Other,Belgium,Other
1,,1/8/2019,Component,Other,Belgium,Other
1,,14/03/2019,Component,Other,Belgium,Other
1,,20/02/2019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,,7/6/2019,Component,Other,Belgium,Other
1,,16/05/2019,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Essential - White Sunrise
1,AGU,3/5/2019,Bike,Other,Belgium,Ahooga Modular Bike - 30V - 1S
1,RADICAL DESIGN,23/07/2019,Component,Other,Luxembourg,Other
1,,28/05/2019,Component,Other,Belgium,Other
1,,1/8/2019,Component,Other,Belgium,Other
1,,14/05/2019,Component,Other,France,Other
1,,20/07/2019,Component,Other,Belgium,Other
1,,13/04/2019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,,27/06/2019,Component,Other,Belgium,Other
1,DPD,20/05/2019,Bike,Other,Belgium,Ahooga Modular Bike - 30V - 1S
1,NOWCOMPANY,13/06/2019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,DPD,23/04/2019,Component,Other,Germany,Other
1,,2/5/2019,Component,Other,Belgium,Other
1,,29/05/2019,Component,Other,Belgium,Other
1,,24/05/2019,Component,Other,Belgium,Other
1,AGU,16/02/2019,Component,Other,Belgium,Other
1,Ahooga Sprl,8/2/2019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,AGU,8/2/2019,Component,Other,Belgium,Other
1,,12/7/2019,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal
1,,16/05/2019,Component,Other,United Kingdom,Other
1,AGU,25/03/2019,Component,Other,Belgium,Other
1,,15/03/2019,Component,Other,Belgium,Other
1,UBW,8/4/2019,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 3S
1,,23/04/2019,Component,Other,Belgium,Other
1,,16/01/2019,Component,Other,Belgium,Other
1,UBW,13/06/2019,Component,Other,Belgium,Other
1,,25/03/2019,Component,Other,Belgium,Other
1,,17/07/2019,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue
1,ROOL IN,31/07/2019,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal
1,Ahooga Sprl,8/2/2019,Bike,Other,Belgium,Ahooga Modular Bike - 30V - 1S
1,AGU,5/6/2019,Component,Other,Belgium,Other
7,,4/6/2019,Component,Other,Belgium,Other
1,DPD,10/1/2019,Component,Other,France,Other
1,AGU,26/02/2019,Component,Other,Belgium,Other
1,DPD,4/6/2019,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue
1,Ahooga Sprl,28/02/2019,Component,Other,Spain,Other
1,AGU,31/05/2019,Component,Other,Belgium,Other
1,DPD,21/03/2019,Component,Other,Belgium,Other
1,DPD,11/1/2019,Component,Other,Belgium,Other
1,,22/07/2019,Component,Other,Belgium,Other
1,,4/6/2019,Component,Other,Belgium,Other
1,UBW ZRT,14/02/2019,Component,Other,Belgium,Other
1,,17/07/2019,Component,Other,Belgium,Other
1,FAHRER,16/01/2019,Component,Other,Belgium,Other
1,,13/06/2019,Component,Other,Belgium,Other
1,,13/06/2019,Component,Other,Belgium,Other
