Actual_quantity,Customer,Created_date,Product_group,Product_family,Country,New_SKU_Name
1,UBW ZRT,872019,Component,Other,Belgium,Other
1,,162019,Component,Other,Belgium,Other
1,,31072019,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Essential - White Sunrise
1,ROOL IN,29052019,Component,Other,Belgium,Other
1,,462019,Component,Other,Belgium,Other
1,AGU,13052019,Component,Other,Belgium,Other
1,Ahooga Sprl,13022019,Component,Other,France,Other
3,,17072019,Component,Other,Germany,Other
1,DPD,1122019,Component,Other,Netherlands,Other
1,UBW ZRT,14052019,Component,Other,Belgium,Other
1,,852019,Component,Other,Belgium,Other
1,DPD,27062019,Component,Other,Belgium,Other
1,HARTJE,29062019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,DPD,30072019,Component,Other,Belgium,Other
1,,13062019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,,13032019,Component,Other,Belgium,Other
1,DPD,20062019,Component,Other,Luxembourg,Other
1,,18052019,Component,Other,Belgium,Other
1,ROOL IN,1242019,Component,Other,Belgium,Other
1,DPD,182019,Component,Other,Belgium,Other
1,HARTJE,31072019,Component,Other,Belgium,Other
4,UBW,17052019,Component,Other,Belgium,Other
1,AGU,31072019,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal
1,,1162019,Component,Other,Belgium,Other
1,,182019,Component,Other,Belgium,Other
1,,14032019,Component,Other,Belgium,Other
1,,20022019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,,762019,Component,Other,Belgium,Other
1,,16052019,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Essential - White Sunrise
1,AGU,352019,Bike,Other,Belgium,Ahooga Modular Bike - 30V - 1S
1,RADICAL DESIGN,23072019,Component,Other,Luxembourg,Other
1,,28052019,Component,Other,Belgium,Other
1,,182019,Component,Other,Belgium,Other
1,,14052019,Component,Other,France,Other
1,,20072019,Component,Other,Belgium,Other
1,,13042019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,,27062019,Component,Other,Belgium,Other
1,DPD,20052019,Bike,Other,Belgium,Ahooga Modular Bike - 30V - 1S
1,NOWCOMPANY,13062019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,DPD,23042019,Component,Other,Germany,Other
1,,252019,Component,Other,Belgium,Other
1,,29052019,Component,Other,Belgium,Other
1,,24052019,Component,Other,Belgium,Other
1,AGU,16022019,Component,Other,Belgium,Other
1,Ahooga Sprl,822019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,AGU,822019,Component,Other,Belgium,Other
1,,1272019,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal
1,,16052019,Component,Other,United Kingdom,Other
1,AGU,25032019,Component,Other,Belgium,Other
1,,15032019,Component,Other,Belgium,Other
1,UBW,842019,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 3S
1,,23042019,Component,Other,Belgium,Other
1,,16012019,Component,Other,Belgium,Other
1,UBW,13062019,Component,Other,Belgium,Other
1,,25032019,Component,Other,Belgium,Other
1,,17072019,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue
1,ROOL IN,31072019,Bike,Push 1.5,Belgium,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal
1,Ahooga Sprl,822019,Bike,Other,Belgium,Ahooga Modular Bike - 30V - 1S
1,AGU,562019,Component,Other,Belgium,Other
7,,462019,Component,Other,Belgium,Other
1,DPD,1012019,Component,Other,France,Other
1,AGU,26022019,Component,Other,Belgium,Other
1,DPD,462019,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue
1,Ahooga Sprl,28022019,Component,Other,Spain,Other
1,AGU,31052019,Component,Other,Belgium,Other
1,DPD,21032019,Component,Other,Belgium,Other
1,DPD,1112019,Component,Other,Belgium,Other
1,,22072019,Component,Other,Belgium,Other
1,,462019,Component,Other,Belgium,Other
1,UBW ZRT,14022019,Component,Other,Belgium,Other
1,,17072019,Component,Other,Belgium,Other
1,FAHRER,16012019,Component,Other,Belgium,Other
1,,13062019,Component,Other,Belgium,Other
1,,13062019,Component,Other,Belgium,Other
1,UBW,22052019,Bike,Other,Germany,Ahooga Modular Bike - 30V - 1S
1,AGU,15062019,Component,Other,Belgium,Other
1,,22062019,Component,Other,Belgium,Other
1,,28032019,Component,Other,France,Other
1,AGU,18062019,Component,Other,Belgium,Other
1,,21062019,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver
1,BLB,932019,Component,Other,Belgium,Other
1,,26032019,Component,Other,Belgium,Other
1,UBW ZRT,25012019,Component,Other,Belgium,Other
