Created_date_month,New_SKU_Name,Actual_quantity
1,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,16
1,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,3
1,Ahooga Folding Bike - Hybrid/Light+ - All Black,1
1,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,5
1,Ahooga Folding Bike - Power+ - OMG Silver,26
1,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,4
1,Ahooga Folding Bike - Push/Essential - White Sunrise,2
1,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,1
1,Ahooga Folding Bike -Jaw Drop Charcoal -(6-10 weeks),1
1,Ahooga Modular Bike - 30V - 1S,1
1,Ahooga Modular Bike - 36V - 3S,3
1,Ahooga Modular Bike - 36V - 8S,2
1,Ahooga Modular Bike - Push - 8S,1
2,Ahooga Folding (Hybrid) Bike - Style+ - Jaw Drop Charcoal,1
2,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,12
2,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,2
2,Ahooga Folding Bike - Hybrid/Light+ - All Black,1
2,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,6
2,Ahooga Folding Bike - Power+ - OMG Silver,27
2,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,7
2,Ahooga Folding Bike - Push/Essential - White Sunrise,4
2,Ahooga Folding Bike - Push/Light+ - All Black,1
2,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,2
2,Ahooga Folding Bike -Jaw Drop Charcoal -(6-10 weeks),2
2,Ahooga Modular Bike - 30V - 1S,2
2,Ahooga Modular Bike - 36V - 3S,4
2,Ahooga Modular Bike - 36V - 8S,3
2,Ahooga Modular Bike - Push - 1S,1
2,Ahooga Modular Bike - Push - 8S,1
2,eBike caliper marathon,1
3,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,19
3,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,9
3,Ahooga Folding Bike - Hybrid/Light+ - All Black,2
3,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,12
3,Ahooga Folding Bike - Power+ - OMG Silver,33
3,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,4
3,Ahooga Folding Bike - Push/Essential - White Sunrise,4
3,Ahooga Folding Bike - Push/Light+ - All Black,1
3,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,2
3,Ahooga Modular Bike - 30V - 1S,3
3,Ahooga Modular Bike - 36V - 3S,6
3,Ahooga Modular Bike - 36V - 8S,12
3,Ahooga Modular Bike - Push - 1S,2
3,Ahooga Modular Bike - Push - 8S,1
3,eBike caliper marathon,1
4,Ahooga Folding (Hybrid) Bike - Style+ - Jaw Drop Charcoal,1
4,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,23
4,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,3
4,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,3
4,Ahooga Folding Bike - Power+ - OMG Silver,29
4,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,5
4,Ahooga Folding Bike - Push/Essential - White Sunrise,8
4,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,1
4,Ahooga Modular Bike - 30V - 1S,2
4,Ahooga Modular Bike - 36V - 3S,4
4,Ahooga Modular Bike - 36V - 8S,5
4,Ahooga Modular Bike - Push - 8S,1
4,DISC Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,1
4,eBike caliper marathon,1
5,Ahooga Folding (Hybrid) Bike - Style+ - Jaw Drop Charcoal,1
5,Ahooga Folding Bike - 24V Hybrid/Style+ - Jaw Drop Charcoal (Stock bike),2
5,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,25
5,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,5
5,Ahooga Folding Bike - Hybrid/Light+ - All Black,3
5,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,15
5,Ahooga Folding Bike - Power+ - OMG Silver,56
5,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,13
5,Ahooga Folding Bike - Push/Essential - White Sunrise,9
5,Ahooga Folding Bike - Push/Light+ - All Black,2
5,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,1
5,Ahooga Modular Bike - 30V - 1S,13
5,Ahooga Modular Bike - 36V - 3S,10
5,Ahooga Modular Bike - 36V - 8S,14
5,Ahooga Modular Bike - Push - 8S,4
5,Ahooga eBike - Copper Brillant/Mar+,1
5,DISC Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,1
6,Ahooga Folding (Hybrid) Bike - Style+ - Jaw Drop Charcoal,1
6,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,49
6,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,6
6,Ahooga Folding Bike - Hybrid/Light+ - All Black,4
6,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,13
6,Ahooga Folding Bike - Power+ - OMG Silver,72
6,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,10
6,Ahooga Folding Bike - Push/Essential - White Sunrise,8
6,Ahooga Folding Bike - Push/Light+ - All Black,3
6,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,8
6,Ahooga Modular Bike - 30V - 1S,5
6,Ahooga Modular Bike - 36V - 3S,9
6,Ahooga Modular Bike - 36V - 8S,21
6,Ahooga Modular Bike - Push - 8S,2
7,Ahooga Folding Bike - 24V Hybrid/Style+ - Jaw Drop Charcoal (Stock bike),1
7,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,26
7,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,11
7,Ahooga Folding Bike - Hybrid/Light+ - All Black,3
7,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,13
7,Ahooga Folding Bike - Power+ - OMG Silver,65
7,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,12
7,Ahooga Folding Bike - Push/Essential - White Sunrise,8
7,Ahooga Folding Bike - Push/Style+ - Jaw Drop Charcoal,9
7,Ahooga Modular Bike - 30V - 1S,3
7,Ahooga Modular Bike - 36V - 3S,9
7,Ahooga Modular Bike - 36V - 8S,16
7,Ahooga Modular Bike - Push - 8S,1
7,Ahooga eBike - Copper Brillant/Mar+,2
7,DISC Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,1
8,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,6
8,Ahooga Folding Bike - Hybrid/Essential - White Sunrise,4
8,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,4
8,Ahooga Folding Bike - Power+ - OMG Silver,8
8,Ahooga Folding Bike - Push/Essential - White Sunrise,1
8,Ahooga Modular Bike - 36V - 3S,2
8,Ahooga Modular Bike - 36V - 8S,1
8,eBike caliper marathon,1
